DB	ID	Symbol	Qualifier	GO ID	GO Name	Aspect	Evidence	Reference	With	Taxon	Date	Source	Splice
ENSEMBL_GeneID	ENSG00000136160	EDNRB	-	GO:0004962	endothelin receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR001112	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000224234	OR10C1	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000224234	OR10C1	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000038	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000251394	OR12D3	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000251394	OR12D3	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000038	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000276825	DRD4	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000276825	DRD4	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000038	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000276825	DRD4	-	GO:0004952	dopamine neurotransmitter receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000929|InterPro:IPR002185	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000278307	TAS2R19	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR007960	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000278307	TAS2R19	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000038	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000278776	-	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000278776	-	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000038	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000263097	TAS2R31	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR007960	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000263097	TAS2R31	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000038	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000273505	TAS2R42	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR007960	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000273505	TAS2R42	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000038	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000278178	LOC105369274	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000277044	OPRL1	-	GO:0001626	nociceptin receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR001420	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000277044	OPRL1	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000277044	OPRL1	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000038	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000277044	OPRL1	-	GO:0004985	opioid receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR001418	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000282256	TAS2R31	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR007960	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000282256	TAS2R31	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000038	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000274699	TAS2R30	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR007960	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000274699	TAS2R30	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000038	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000282608	ADORA3	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000282608	ADORA3	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000038	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000282537	TAS2R43	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR007960	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000282537	TAS2R43	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000038	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000282612	TAS2R20	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR007960	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000282612	TAS2R20	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000038	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000278111	TAS2R46	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR007960	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000278111	TAS2R46	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000038	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000182974	-	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000182974	-	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000038	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000225247	OR12D2	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000225247	OR12D2	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000038	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000230855	OR2J3	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000230855	OR2J3	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000038	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000227446	OR12D2	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000227446	OR12D2	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000038	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000235441	OR10C1	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000235441	OR10C1	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000038	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000237051	GABBR1	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR017978	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000237051	GABBR1	-	GO:0004965	G-protein coupled GABA receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR002455|InterPro:IPR002456	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000121753	ADGRB2	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000832|InterPro:IPR001879	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000274286	ADRA2B	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000274286	ADRA2B	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000038	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000274286	ADRA2B	-	GO:0004935	adrenergic receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR002233	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000274286	ADRA2B	-	GO:0004938	alpha2-adrenergic receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000207	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000274286	ADRA2B	-	GO:0004938	alpha2-adrenergic receptor activity	Function	IEA	GO_REF:0000019	Ensembl:ENSRNOP00000018584	9606	20160813	Ensembl	-
ENSEMBL_GeneID	ENSG00000162727	OR2M5	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000162727	OR2M5	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000037	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000221933	OR2A25	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000221933	OR2A25	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000037	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000197706	OR6C74	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000197706	OR6C74	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000037	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000189181	OR14I1	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000189181	OR14I1	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000037	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000205327	OR6C68	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000205327	OR6C68	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000037	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000206536	OR5K3	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000206536	OR5K3	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000037	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000188324	OR6C6	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000188324	OR6C6	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000037	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000177462	OR2T8	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000177462	OR2T8	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000037	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000185926	OR4C46	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000185926	OR4C46	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000037	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000236032	OR5H14	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000236032	OR5H14	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000037	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000184954	OR6C70	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000184954	OR6C70	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000037	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000205328	OR6C65	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000205328	OR6C65	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000037	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000231192	OR5H1	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000231192	OR5H1	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000037	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000187857	OR6C75	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000187857	OR6C75	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000037	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000198283	OR5B21	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000198283	OR5B21	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000037	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000280021	OR51F1	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000280021	OR51F1	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000038	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000188124	OR2AG2	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000188124	OR2AG2	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000037	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000185821	OR6C76	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000185821	OR6C76	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000037	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000196098	OR5K4	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000196098	OR5K4	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000037	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000171561	OR2AT4	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000171561	OR2AT4	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000037	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000128285	MCHR1	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000128285	MCHR1	-	GO:0030273	melanin-concentrating hormone receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR004047	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000168959	GRM5	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000337|InterPro:IPR017979	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000117114	ADGRL2	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000832|InterPro:IPR001879|InterPro:IPR003334|InterPro:IPR003924|InterPro:IPR017983|InterPro:IPR031240	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000117114	ADGRL2	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000038	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000198121	LPAR1	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000198121	LPAR1	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000038	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000198121	LPAR1	-	GO:0070915	lysophosphatidic acid receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR002277|InterPro:IPR004065	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000257115	OR11H12	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000257115	OR11H12	-	GO:0004930	G-protein coupled receptor activity	Function	IBA	GO_REF:0000033	PANTHER:PTN001544342	9606	20150602	GO_Central	-
ENSEMBL_GeneID	ENSG00000257115	OR11H12	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000037	UniProtKB-KW:KW-0297	9606	20160806	UniProt	-
ENSEMBL_GeneID	ENSG00000127507	ADGRE2	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR003056	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000166073	GPR176	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
ENSEMBL_GeneID	ENSG00000164849	GPR146	-	GO:0004930	G-protein coupled receptor activity	Function	IEA	GO_REF:0000002	InterPro:IPR000276	9606	20160813	InterPro	-
